Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-06-14&team=Diamondbacks&dh=0"">2016-06-14</a>",ARI,LAD,1,2B,1,4,4,4,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-06-13&team=Diamondbacks&dh=0"">2016-06-13</a>",ARI,LAD,1,2B,1,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5
"<a href=""wins.aspx?date=2016-06-12&team=Diamondbacks&dh=0"">2016-06-12</a>",ARI,MIA,1,2B,1,4,5,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-06-11&team=Diamondbacks&dh=0"">2016-06-11</a>",ARI,MIA,1,2B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-10&team=Diamondbacks&dh=0"">2016-06-10</a>",ARI,MIA,1,2B,1,4,5,2,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0.5
"<a href=""wins.aspx?date=2016-06-08&team=Diamondbacks&dh=0"">2016-06-08</a>",ARI,TBR,1,2B,1,4,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-07&team=Diamondbacks&dh=0"">2016-06-07</a>",ARI,TBR,1,2B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-06&team=Diamondbacks&dh=0"">2016-06-06</a>",ARI,TBR,1,2B,1,4,5,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-04&team=Diamondbacks&dh=0"">2016-06-04</a>",ARI,@CHC,1,2B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-03&team=Diamondbacks&dh=0"">2016-06-03</a>",ARI,@CHC,1,2B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-02&team=Diamondbacks&dh=0"">2016-06-02</a>",ARI,@HOU,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-01&team=Diamondbacks&dh=0"">2016-06-01</a>",ARI,@HOU,1,2B,1,3,5,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0.333
"<a href=""wins.aspx?date=2016-05-31&team=Diamondbacks&dh=0"">2016-05-31</a>",ARI,HOU,1,2B,1,5,5,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-05-30&team=Diamondbacks&dh=0"">2016-05-30</a>",ARI,HOU,1,2B,1,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-29&team=Diamondbacks&dh=0"">2016-05-29</a>",ARI,SDP,1,2B,1,5,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-05-28&team=Diamondbacks&dh=0"">2016-05-28</a>",ARI,SDP,1,2B,1,4,5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-27&team=Diamondbacks&dh=0"">2016-05-27</a>",ARI,SDP,1,2B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-26&team=Diamondbacks&dh=0"">2016-05-26</a>",ARI,@PIT,1,2B,1,5,5,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-05-24&team=Diamondbacks&dh=0"">2016-05-24</a>",ARI,@PIT,1,2B,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-22&team=Diamondbacks&dh=0"">2016-05-22</a>",ARI,@STL,1,2B,1,4,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-21&team=Diamondbacks&dh=0"">2016-05-21</a>",ARI,@STL,1,2B,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-20&team=Diamondbacks&dh=0"">2016-05-20</a>",ARI,@STL,1,2B,1,5,5,2,2,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0.4
"<a href=""wins.aspx?date=2016-05-18&team=Diamondbacks&dh=0"">2016-05-18</a>",ARI,NYY,1,2B,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-17&team=Diamondbacks&dh=0"">2016-05-17</a>",ARI,NYY,1,2B,1,4,4,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.5
